code,province,area(km2),grid_count,average_water_resources(108m3),average_surface_water_resources(108m3),average_pre(108m3),average_pre(mm),agr_water_withdrawal(108m3),ind_water_withdrawal(108m3),dom_water_withdrawal(108m3),sum_water_withdrawal(108m3),sum_water_withdrawal(108mm),agr_GDP_2020RMB(108),ind_GDP_2020RMB(108),ser_GDP_2020RMB(108),sum_GDP_2020RMB(108),per_unit_water_value(rmb_m3),population(wanren),food_production(wan_t),PC_GDP,per_unit_water_pop(pop_m3),per_unit_water_food(ton_m3)
110000,Beijing,16405.1,8,28.22,10.52,94.68,577.1375975,8.8,4.67,16.511,29.97,182.6870912,158.96,4698.17,16881.69,21738.82,725.352686,2056.8,91.81,105692.4349,0.006862863,0.00030634
120000,Tianjin,11924.7,4,16.17,11.79,71.23,597.3315891,11.94,5.02,5.25025,22.21,186.252065,199.87,7308.59,7489.61,14998.07,675.2845565,1355.3,173.36,110662.3626,0.006102206,0.000780549
130000,Hebei,188044,77,159.76,69.46,1005.03,534.4653379,138.04,23.73,24.53343,186.31,99.07787539,3484.19,15203.94,11268.13,29956.26,160.7871827,7245.1,3291.23,41346.92413,0.003888734,0.001766534
140000,Shanxi,156760,64,109.11,67.1,828.78,528.6935443,41.34,13.56,11.74121,66.64,42.5108446,756.28,6651.5,5747.8,13155.58,197.4126651,3512.8,1216.08,37450.40993,0.005271309,0.00182485
150000,Neimeng,1146180,515,487.9,351.48,3171.06,276.6633513,136.6,20.63,12.2537,169.49,14.78738069,1603.84,8695.43,6622.04,16921.31,99.83662753,2452.1,2605.8,69007.42221,0.001446752,0.001537436
210000,Liaoning,146786,64,319.18,281.49,1045.3,712.1251345,88.87,22.58,24.72653,136.18,92.77451528,2269.86,12887.6,10891.66,26049.12,191.2844764,4348.5,1992.1,59903.69093,0.0031932,0.001462843
220000,Jilin,191023,85,422.1,362.04,1241.53,649.9374421,83.03,23.82,13.709,120.55,63.1075839,1501.08,6733.34,5105.42,13339.84,110.6581501,2666,3369.2,50036.90923,0.00221153,0.002794857
230000,Heilongjiang,452741,215,854.03,722.11,2588.75,571.7949114,283.96,39.12,17.46691,340.55,75.2196068,2386.41,5973.43,6644.99,15004.84,44.06060784,3665.5,5831.96,40935.31578,0.001076347,0.001712512
310000,Shanghai,8058.78,4,40.42,33.78,80.16,994.6915042,16.05,74.24,24.26478,114.56,1421.555124,138.84,9023.71,15675.6,24838.15,216.8134602,2371.5,115.06,104736.032,0.002070094,0.000100436
320000,Jiangsu,102597,42,442.7,341.9,1080.89,1053.52983,293.49,217.75,52.999,564.24,549.9576011,3801.54,31784.61,29725.74,65311.89,115.7519672,8117.6,3394.91,80457.14251,0.001438679,0.000601678
330000,Zhejiang,105058,39,1106.59,1091.72,1847.2,1758.266862,90.08,55.91,41.88832,187.88,178.8345485,1880.01,20021.22,19569.2,41470.42,220.7282308,5709.1,727.54,72639.15503,0.003038695,0.000387237
340000,Anhui,140143,51,796.66,738.44,1723.59,1229.87948,159.03,93.11,31.279,283.42,202.2362872,2461.23,10379.26,7522.35,20362.85,71.84690565,6025.9,3381.33,33792.21361,0.002126138,0.001193046
350000,Fujian,122332,44,1263.87,1262.55,2267.39,1853.472517,94.87,74.89,28.13624,197.9,161.7728804,2056.1,12032.61,9821.52,23910.24,120.819808,3851.8,627.02,62075.49717,0.001946337,0.000316837
360000,Jiangxi,166948,63,1694.41,1675.23,2925.6,1752.401946,159.34,59.38,27.105,245.82,147.2434531,1756.61,7899.64,5695.21,15351.46,62.45000407,4469.1,2091.74,34350.22712,0.001818038,0.000850923
