name,Beijing_source,Tianjin_source,Hebei_source,Shanxi_source,Neimeng_source,Liaoning_source,Jilin_source,Heilongjiang_source,Shanghai_source,Jiangsu_source,Zhejiang_source,Anhui_source,Fujian_source,Jiangxi_source,Shandong_source,Henan_source,Hubei_source,Hunan_source,Guangdong_source,Guangxi_source,Hainan_source,Chongqing_source,Sichuan_source,Guizhou_source,Yunnan_source,Xizang_source,Shaanxi_source,Gansu_source,Qinghai_source,Ningxia_source,Xinjiang_source
Beijing,1.892440643,0.89808553,10.93370993,7.239635663,7.909813273,0.742890335,0.269816602,0.391675822,0.084651589,1.709712504,0.280255072,1.550742322,0.10809786,0.329978263,5.587942401,4.20018687,1.738469755,0.629989264,0.19271366,0.488520775,0.033501571,0.459473329,1.364549084,0.498509988,0.301571517,0.17217842,4.165075644,2.471276481,0.984616044,0.585499794,3.008145029
Tianjin,0.522379166,0.890647597,6.555350394,4.021209374,3.817442852,0.510410745,0.140998075,0.208679254,0.072230782,1.53000416,0.274078652,1.421161585,0.148610782,0.437103037,5.518984523,3.666713477,1.780870877,0.853494385,0.276247463,0.575319012,0.044187887,0.46534616,1.092178423,0.495940228,0.314573761,0.107762157,2.706845919,1.615851624,0.671396101,0.361349149,1.685603174
Hebei,9.345952865,5.350378713,97.94763886,74.69725474,79.00198517,7.816417809,2.396556347,3.491109394,0.901369196,18.47126546,3.775914796,18.99994642,1.458936724,4.967862285,57.00807146,53.26116585,23.37151536,9.911441035,2.937247411,7.425095308,0.527639745,6.610186833,16.87514416,6.597777728,4.40687263,2.093530757,45.82377903,28.00558809,11.49403866,6.328253807,32.46016547
Shanxi,1.613909815,1.05542398,34.52782098,101.1660186,49.07551733,1.894614286,0.674020253,0.945981095,0.505010463,9.492018998,2.883681995,15.23241863,1.193162244,4.831018292,18.63661176,64.42979562,34.212384,10.67695809,2.514728201,8.558890623,0.446648604,13.70309659,36.87796922,11.28456157,8.177576404,4.838839489,87.68323992,44.38035348,20.35744497,9.281444233,30.10984095
Neimeng,9.406280396,3.675404409,83.02357988,89.78926788,519.7867987,39.88219965,46.27725415,129.6827026,0.574599243,11.12230586,2.605916858,12.26534297,1.007712131,3.563142543,31.35987759,41.02585829,22.82961203,6.261568734,1.588666178,4.40690453,0.2695401,9.501497815,39.17152705,6.171957749,5.004249786,5.160389609,116.7192,107.1097561,46.78449374,24.4353734,138.0028505
Liaoning,5.002219387,3.460302583,50.3106235,30.51780319,66.6605831,52.14266959,12.14948113,10.48099,1.229493358,21.51844127,6.351896113,19.64961003,3.858456308,9.188251809,52.32217373,30.22566379,17.7091381,10.10595308,4.905193595,5.94035314,0.527358031,3.558019318,8.618329161,4.073857098,2.539922205,1.363116148,22.77371173,15.21953037,6.558937638,3.58083299,22.73799383
Jilin,4.924839127,2.958618134,45.24164868,26.08939099,116.7360439,66.45714921,85.89760823,46.44749711,0.821290718,14.42039454,4.341915962,12.56032188,2.32038729,5.588528786,36.76940824,20.58391436,11.1651662,5.72544099,2.699227754,3.216603102,0.26656394,2.421955618,6.332665863,2.376292145,1.55649747,1.185268827,18.99560268,13.36309766,5.626702109,3.162164495,26.18701374
Heilongjiang,7.291838264,4.145906424,64.99972257,34.77498681,280.4837104,86.66815548,141.2068454,337.8303399,0.818588637,14.60492499,3.767762534,11.91727179,1.58487417,4.08699424,42.7090836,22.12402961,10.46559399,4.706142989,1.955477031,2.688290026,0.2060645,2.333887563,6.180322209,2.17156776,1.274677201,0.892927183,23.37077938,16.58718264,6.033729062,4.106857719,36.5971018
Shanghai,0.021967207,0.01805588,0.27215338,0.290592425,0.384495376,0.129421366,0.038299727,0.042362957,0.509840846,1.38032995,2.820521303,2.099412765,1.423653544,3.253377528,0.501391982,0.868527107,1.909212644,2.172538003,1.651643173,1.642662528,0.22856125,0.353895659,0.917926669,0.758440413,0.989488226,0.154309603,0.563495782,0.350769018,0.215398337,0.055146553,0.232676264
Jiangsu,0.506042433,0.398877594,6.709683043,7.449063686,8.88710244,2.693582204,0.810207041,0.999637337,4.4298277,47.70683011,27.54422908,48.19537834,13.51321544,39.53987171,15.33929371,25.06914338,40.51242627,34.09365504,19.5481021,24.14071075,2.595838402,7.387946923,15.93746256,12.93906829,13.39004586,2.41463584,13.10803842,7.33698404,3.959784309,1.336819892,4.606369464
