name,Beijing_target,Tianjin_target,Hebei_target,Shanxi_target,Neimeng_target,Liaoning_target,Jilin_target,Heilongjiang_target,Shanghai_target,Jiangsu_target,Zhejiang_target,Anhui_target,Fujian_target,Jiangxi_target,Shandong_target,Henan_target,Hubei_target,Hunan_target,Guangdong_target,Guangxi_target,Hainan_target,Chongqing_target,Sichuan_target,Guizhou_target,Yunnan_target,Xizang_target,Shaanxi_target,Gansu_target,Qinghai_target,Ningxia_target,Xinjiang_target
Beijing,0.019987755,0.007333696,0.009299178,0.001947332,0.002966289,0.004785439,0.00396675,0.002816741,0.000274042,0.000468172,0.000142418,0.000275267,4.26E-05,5.86E-05,0.001353591,0.000649392,0.000176449,7.20E-05,2.73E-05,2.41E-05,3.18E-05,6.57E-05,1.62E-05,2.78E-05,5.80E-06,1.17E-07,0.000242638,7.06E-05,2.56E-05,0.000175086,3.29E-06
Tianjin,0.009485483,0.012503827,0.005323601,0.001273467,0.001159046,0.003310344,0.002383042,0.001601509,0.000225248,0.000369027,0.000100778,0.000223014,3.54E-05,4.52E-05,0.001092904,0.000545574,0.000145043,5.53E-05,2.14E-05,1.97E-05,1.89E-05,4.38E-05,1.49E-05,2.31E-05,5.11E-06,3.54E-08,0.000161601,3.82E-05,1.16E-05,8.52E-05,1.42E-06
Hebei,0.115480671,0.092030751,0.097457428,0.041661021,0.026181649,0.04813032,0.036440238,0.025108536,0.003395127,0.006207554,0.001863537,0.004026664,0.00064874,0.000911248,0.022771122,0.014099291,0.003159919,0.001171105,0.000338622,0.000337554,0.000333127,0.001202566,0.000347046,0.000487854,0.000111646,2.48E-06,0.005420804,0.001257824,0.000297808,0.002931706,2.19E-05
Shanxi,0.076464255,0.056453873,0.074323408,0.122066192,0.028315222,0.029195258,0.021013903,0.013433119,0.003625155,0.006891602,0.002152418,0.004916805,0.000793876,0.001305246,0.024637748,0.020672438,0.004971177,0.001733821,0.000410393,0.000438067,0.000326018,0.002305959,0.00080116,0.000754316,0.000143995,5.21E-06,0.025271946,0.004608385,0.000772186,0.012399719,8.02E-05
Neimeng,0.083542599,0.053593189,0.078606594,0.059214167,0.163915788,0.063771724,0.094025955,0.10834716,0.004796599,0.008222023,0.0024748,0.005135942,0.000948709,0.001304077,0.020290905,0.012820666,0.004495959,0.001654785,0.000537894,0.000518869,0.000490139,0.002685917,0.001900189,0.000877558,0.000202932,0.000112028,0.022374414,0.027603086,0.007527645,0.06008572,0.001070647
Liaoning,0.007846328,0.007165671,0.007777298,0.002286028,0.01257693,0.049882971,0.053528428,0.033478766,0.001614538,0.002492004,0.000781056,0.001292995,0.000311397,0.000289259,0.004877456,0.002017295,0.000700726,0.000334504,0.000197784,0.000146227,0.000222431,0.000310039,8.04E-05,0.000185387,5.13E-05,4.03E-07,0.000547977,0.000159452,4.25E-05,0.000213282,3.86E-06
Jilin,0.002849774,0.001979476,0.002384562,0.000813268,0.014593623,0.011622961,0.069186897,0.054546343,0.000477791,0.000749574,0.000216524,0.000345635,0.000100389,8.44E-05,0.001357508,0.000529231,0.000201084,0.000104966,6.44E-05,3.87E-05,8.85E-05,8.60E-05,2.11E-05,5.41E-05,1.30E-05,1.72E-07,0.000243634,0.000105297,1.70E-05,0.000158011,5.17E-06
Heilongjiang,0.004136838,0.002929654,0.003473637,0.001141414,0.040895695,0.010026777,0.037411498,0.130499407,0.00052848,0.000924828,0.000252648,0.000452351,0.000131378,0.000103697,0.001427681,0.00068045,0.000208968,0.000103275,8.67E-05,4.95E-05,0.000204191,6.61E-05,1.72E-05,5.60E-05,1.58E-05,4.43E-07,0.000319376,0.000325387,5.66E-05,0.00031949,3.16E-05
Shanghai,0.000894081,0.00101405,0.000896858,0.000609342,0.000181201,0.001176211,0.000661515,0.00031621,0.00636029,0.004098315,0.001611037,0.001916196,0.000411968,0.000473567,0.002122433,0.001435045,0.000711497,0.000308806,0.0002174,0.000164059,0.000197345,0.00024962,7.66E-05,0.000155794,6.09E-05,5.50E-07,0.000370068,6.46E-05,4.10E-06,0.000168259,9.88E-08
Jiangsu,0.0180578,0.021479772,0.01837882,0.011453002,0.003507441,0.0205859,0.011615019,0.00564169,0.017219685,0.044136619,0.008068386,0.023696389,0.002803195,0.004441078,0.04042456,0.026186762,0.010035796,0.003812335,0.001412753,0.001449942,0.001301069,0.003510692,0.000900576,0.001802527,0.000641772,2.96E-06,0.005964924,0.00094854,4.44E-05,0.002607678,2.33E-06
